# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.331318100351e-10       6.338131390572e-15       4.185686195515e-13       2.007120343160e-19       7.841312389276e-09       4.403953566983e-10      -2.202387513657e-12 
    3       1.255879836723e-10       1.060552664928e-14       5.258315137681e-13       4.016000576496e-19       4.854025786015e-09       3.139063682159e-10      -1.928021253609e-12 
    4       1.181479746754e-10       1.220730505546e-14       5.421901792194e-13       6.697185409003e-19       3.379491127580e-09       2.388412723022e-10      -1.526829795098e-12 
    5       1.122979596664e-10       1.110335223462e-14       5.058879707875e-13       1.005285733358e-18       2.522858544771e-09       1.895021548253e-10      -1.121226946459e-12 
    6       1.080250351156e-10       8.407828846564e-15       4.433451775193e-13       1.408560868743e-18       1.971310115343e-09       1.547954670623e-10      -7.538725179381e-13 
    7       1.050664256282e-10       5.465377826893e-15       3.724409352232e-13       1.879835903815e-18       1.591369710221e-09       1.291487491904e-10      -4.463373526530e-13 
    8       1.030939817230e-10       3.186281889917e-15       3.040578124600e-13       2.419426353467e-18       1.316048449120e-09       1.095272745461e-10      -2.077488701886e-13 
    9       1.019315796396e-10       1.856911034522e-15       2.445138295041e-13       3.027661579596e-18       1.108949881245e-09       9.417416600330e-11      -3.879862825843e-14 
   10       1.014211176101e-10       1.295439877377e-15       1.970417264364e-13       3.704874910995e-18       9.485692091501e-10       8.192364464005e-11       6.615705421356e-14 
   11       1.013486341044e-10       1.140509969820e-15       1.628977544809e-13       4.451393976227e-18       7.991316710629e-10       7.210496454152e-11       1.164970704261e-13 
   12       1.016513213921e-10       1.089389374803e-15       1.417410834648e-13       5.267531620765e-18       6.984897389093e-10       6.382631132967e-11       1.264931379386e-13 
   13       1.022454798172e-10       1.000135625690e-15       1.317945687426e-13       6.153577754042e-18       6.158446221913e-10       5.682965540435e-11       1.080938848071e-13 
   14       1.030729344208e-10       8.701847461354e-16       1.305075896119e-13       7.109792432490e-18       5.470547247533e-10       5.102561822888e-11       7.398071087357e-14 
   15       1.040767285674e-10       7.567951144559e-16       1.351801511114e-13       8.136400432771e-18       4.891386458081e-10       4.615733150970e-11       3.456215886479e-14 
   16       1.052087853870e-10       7.054854775768e-16       1.432771295955e-13       9.233587507370e-18       4.398842563523e-10       4.194733582243e-11      -2.354924652128e-15 
   17       1.065183533541e-10       7.202392895688e-16       1.526296496821e-13       1.040149844494e-17       3.976187157045e-10       3.821442270427e-11      -3.166266931301e-14 
   18       1.078970285859e-10       7.710246149883e-16       1.616534626178e-13       1.164023610350e-17       3.609235678063e-10       3.496352474538e-11      -5.054815893847e-14 
   19       1.093543179680e-10       8.321650009816e-16       1.696942557789e-13       1.294986754622e-17       3.292215580428e-10       3.215536853527e-11      -5.873175128269e-14 
   20       1.109023133343e-10       8.810801574471e-16       1.763595662991e-13       1.433041787855e-17       3.012938216444e-10       2.964604306526e-11      -5.763259134692e-14 
   21       1.125266475764e-10       9.256575742053e-16       1.817258938761e-13       1.578188816340e-17       2.767036307775e-10       2.739971822259e-11      -4.956471237179e-14 
   22       1.141796417443e-10       9.859922646129e-16       1.861296824137e-13       1.730424810042e-17       2.548644195047e-10       2.538257372088e-11      -3.778224455233e-14 
   23       1.158812243915e-10       1.076546853656e-15       1.900705786700e-13       1.889745749286e-17       2.354769937868e-10       2.358525919485e-11      -2.485035935540e-14 
