# Matter power spectrum P(k) at redshift z=0.7
# for k=1.04043e-05 to 1.07542 h/Mpc,
# number of wavenumbers equal to 602
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.040429282337e-05       2.222018926433e+01 
       2.324866307648e-05       4.846776516277e+01 
       3.613790501622e-05       7.434688833886e+01 
       4.910650097620e-05       1.000994371430e+02 
       6.218950005114e-05       1.258684005542e+02 
       7.542282885405e-05       1.517641961794e+02 
       8.884361215105e-05       1.778833715654e+02 
       1.024905076167e-04       2.043163294877e+02 
       1.164040589842e-04       2.311513471171e+02 
       1.306270718998e-04       2.584770609404e+02 
       1.452050167956e-04       2.863842369025e+02 
       1.601864630421e-04       3.149671821503e+02 
       1.756235484672e-04       3.443249785477e+02 
       1.915724879770e-04       3.745626351367e+02 
       2.080941243768e-04       4.057922054563e+02 
       2.252545234541e-04       4.381339072685e+02 
       2.431256137787e-04       4.717172543703e+02 
       2.617858692887e-04       5.066822075718e+02 
       2.813210293044e-04       5.431803323894e+02 
       3.018248458199e-04       5.813759443339e+02 
       3.233998414060e-04       6.214472091740e+02 
       3.461580524182e-04       6.635871408397e+02 
       3.702217210678e-04       7.080044268158e+02 
       3.957238860379e-04       7.549239778533e+02 
       4.228088046901e-04       8.045870754779e+02 
       4.516321210170e-04       8.572509541573e+02 
       4.823606735920e-04       9.131876272541e+02 
       5.151718192646e-04       9.726817385660e+02 
       5.502521351389e-04       1.036027208644e+03 
       5.877953590499e-04       1.103522453468e+03 
       6.279994444356e-04       1.175464018344e+03 
       6.710626469378e-04       1.252138524167e+03 
       7.171786337262e-04       1.333813027812e+03 
       7.665307146437e-04       1.420724067886e+03 
       8.192854310910e-04       1.513065940511e+03 
       8.755858874097e-04       1.610978979609e+03 
       9.355453421617e-04       1.714538870245e+03 
       9.992416575691e-04       1.823748080515e+03 
       1.066713200913e-03       1.938530478083e+03 
       1.137956683157e-03       2.058729935256e+03 
       1.212927214382e-03       2.184113288647e+03 
       1.291540588340e-03       2.314377567231e+03 
       1.373677535457e-03       2.449155505319e+03 
       1.459189463313e-03       2.588030777817e+03 
       1.547905078388e-03       2.730575793054e+03 
       1.639637266221e-03       2.876333209248e+03 
       1.734189684600e-03       3.024840901661e+03 
       1.831362662041e-03       3.175642875391e+03 
       1.930958153067e-03       3.328298031412e+03 
       2.032783650177e-03       3.482386906253e+03 
       2.136655070053e-03       3.637516533236e+03 
       2.242398710959e-03       3.793323382416e+03 
       2.349852421770e-03       3.949475256487e+03 
       2.458866137760e-03       4.105670892659e+03 
