# Matter power spectrum P(k) at redshift z=0.7
# for k=1.04043e-05 to 1.07542 h/Mpc,
# number of wavenumbers equal to 602
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.040429282337e-05       2.221343658985e+01 
       2.324866307648e-05       4.845306058577e+01 
       3.613790501622e-05       7.432439928377e+01 
       4.910650097620e-05       1.000692881205e+02 
       6.218950005114e-05       1.258307045204e+02 
       7.542282885405e-05       1.517190665079e+02 
       8.884361215105e-05       1.778309291179e+02 
       1.024905076167e-04       2.042567081663e+02 
       1.164040589842e-04       2.310846990968e+02 
       1.306270718998e-04       2.584035621481e+02 
       1.452050167956e-04       2.863040930759e+02 
       1.601864630421e-04       3.148806357249e+02 
       1.756235484672e-04       3.442323165817e+02 
       1.915724879770e-04       3.744641984673e+02 
       2.080941243768e-04       4.056883992747e+02 
       2.252545234541e-04       4.380252132803e+02 
       2.431256137787e-04       4.716042446820e+02 
       2.617858692887e-04       5.065655603841e+02 
       2.813210293044e-04       5.430608494799e+02 
       3.018248458199e-04       5.812545701536e+02 
       3.233998414060e-04       6.213250511332e+02 
       3.461580524182e-04       6.634654900037e+02 
       3.702217210678e-04       7.078847777180e+02 
       3.957238860379e-04       7.548080454562e+02 
       4.228088046901e-04       8.044768064318e+02 
       4.516321210170e-04       8.571485284740e+02 
       4.823606735920e-04       9.130954453920e+02 
       5.151718192646e-04       9.726023879558e+02 
       5.502521351389e-04       1.035963403237e+03 
       5.877953590499e-04       1.103476940587e+03 
       6.279994444356e-04       1.175439449807e+03 
       6.710626469378e-04       1.252137294199e+03 
       7.171786337262e-04       1.333837089378e+03 
       7.665307146437e-04       1.420774751415e+03 
       8.192854310910e-04       1.513143812407e+03 
       8.755858874097e-04       1.611083787729e+03 
       9.355453421617e-04       1.714669622314e+03 
       9.992416575691e-04       1.823903281485e+03 
       1.066713200913e-03       1.938708509939e+03 
       1.137956683157e-03       2.058929504271e+03 
       1.212927214382e-03       2.184333811397e+03 
       1.291540588340e-03       2.314619349324e+03 
       1.373677535457e-03       2.449419612990e+03 
       1.459189463313e-03       2.588318616474e+03 
       1.547905078388e-03       2.730888547803e+03 
       1.639637266221e-03       2.876671385451e+03 
       1.734189684600e-03       3.025204192126e+03 
       1.831362662041e-03       3.176030422646e+03 
       1.930958153067e-03       3.328708942867e+03 
       2.032783650177e-03       3.482820731939e+03 
       2.136655070053e-03       3.637973433143e+03 
       2.242398710959e-03       3.793803900103e+03 
       2.349852421770e-03       3.949979862420e+03 
       2.458866137760e-03       4.106199603035e+03 
       2.569301933237e-03       4.262191544973e+03 
       2.681033724531e-03       4.417712857622e+03 
       2.793946734978e-03       4.572548036135e+03 
       2.907936810844e-03       4.726505930889e+03 
       3.022909656145e-03       4.879418441169e+03 
       3.138780036184e-03       5.031138337203e+03 
       3.255470984925e-03       5.181537024680e+03 
       3.372913039719e-03       5.330502644733e+03 
       3.491043518173e-03       5.477937894785e+03 
       3.609805845513e-03       5.623759358642e+03 
       3.729148936222e-03       5.767894779006e+03 
       3.849026630596e-03       5.910283445146e+03 
       3.969397184775e-03       6.050872359500e+03 
       4.090222811513e-03       6.189618338515e+03 
       4.211469268211e-03       6.326483605266e+03 
       4.333105488385e-03       6.461437960451e+03 
       4.455103252656e-03       6.594458182924e+03 
       4.577436895419e-03       6.725524393603e+03 
       4.700083043564e-03       6.854621259693e+03 
       4.823020383828e-03       6.981738582634e+03 
       4.946229455683e-03       7.106869759825e+03 
       5.069692466913e-03       7.230010476586e+03 
       5.193393129336e-03       7.351160911350e+03 
       5.317316512380e-03       7.470318916201e+03 
       5.441448912481e-03       7.587492128045e+03 
       5.565777736498e-03       7.702686138726e+03 
       5.690291397537e-03       7.815907084104e+03 
       5.814979221761e-03       7.927166434814e+03 
       5.939831364959e-03       8.036472148792e+03 
       6.064838737742e-03       8.143835523207e+03 
       6.189992938415e-03       8.249268634082e+03 
       6.315286192650e-03       8.352785183782e+03 
       6.440711299222e-03       8.454394528340e+03 
       6.566261581120e-03       8.554115013975e+03 
       6.691930841467e-03       8.651968920118e+03 
       6.817713323708e-03       8.747957923301e+03 
       6.943603675623e-03       8.842104397272e+03 
       7.069596916748e-03       8.934424399707e+03 
       7.195688408854e-03       9.024932249108e+03 
       7.321873829159e-03       9.113645551357e+03 
       7.448149145998e-03       9.200583307840e+03 
       7.574510596685e-03       9.285760293541e+03 
       7.700954667371e-03       9.369192638961e+03 
       7.827478074670e-03       9.450904534175e+03 
       7.954077748905e-03       9.530908217516e+03 
       8.080750818793e-03       9.609220788461e+03 
       8.207494597446e-03       9.685860223364e+03 
       8.334306569553e-03       9.760846685228e+03 
       8.461184379637e-03       9.834194368487e+03 
       8.588125821281e-03       9.905921814975e+03 
       8.715128827237e-03       9.976046899759e+03 
       8.842191460339e-03       1.004458573954e+04 
       8.969311905144e-03       1.011155534171e+04 
       9.096488460232e-03       1.017697318511e+04 
       9.223719531117e-03       1.024085648081e+04 
       9.351003623707e-03       1.030322084195e+04 
       9.478339338272e-03       1.036408271406e+04 
       9.605725363866e-03       1.042346111843e+04 
       9.733160473179e-03       1.048137091935e+04 
       9.860643517770e-03       1.053783149532e+04 
       9.988173423661e-03       1.059285097151e+04 
       1.011574918725e-02       1.064645237330e+04 
       1.024336987152e-02       1.069865391689e+04 
       1.037103460255e-02       1.074946882504e+04 
       1.049874256624e-02       1.079890830335e+04 
       1.062649300529e-02       1.084699595680e+04 
       1.075428521643e-02       1.089374109330e+04 
       1.088211854774e-02       1.093916386475e+04 
       1.100999239633e-02       1.098327487021e+04 
       1.113790620598e-02       1.102609156442e+04 
       1.126585946513e-02       1.106762705576e+04 
       1.139385170491e-02       1.110789970239e+04 
       1.152188249731e-02       1.114691975276e+04 
       1.164995145350e-02       1.118470434035e+04 
       1.177805822230e-02       1.122126708947e+04 
       1.190620248867e-02       1.125662332000e+04 
       1.203438397238e-02       1.129078480440e+04 
       1.216260242678e-02       1.132376402216e+04 
       1.229085763756e-02       1.135558447311e+04 
       1.241914942172e-02       1.138624934069e+04 
       1.254747762651e-02       1.141577938768e+04 
       1.267584212856e-02       1.144418177797e+04 
       1.280424283292e-02       1.147147639314e+04 
       1.293267967234e-02       1.149767292249e+04 
       1.306115260643e-02       1.152278591443e+04 
       1.318966162108e-02       1.154682787945e+04 
       1.331820672771e-02       1.156981091095e+04 
       1.344678796277e-02       1.159174620754e+04 
       1.357540538715e-02       1.161265433764e+04 
       1.370405908569e-02       1.163253876619e+04 
       1.383274916674e-02       1.165141609953e+04 
       1.396147576175e-02       1.166929704096e+04 
       1.409023902487e-02       1.168619546244e+04 
       1.421903913263e-02       1.170212027510e+04 
       1.434787628362e-02       1.171708670185e+04 
       1.447675069823e-02       1.173110478193e+04 
       1.460566261841e-02       1.174419521400e+04 
       1.473461230744e-02       1.175635207538e+04 
       1.486360004975e-02       1.176760404486e+04 
       1.499262615078e-02       1.177796010161e+04 
       1.512169093683e-02       1.178742575570e+04 
       1.525079475497e-02       1.179601842952e+04 
       1.537993797294e-02       1.180374853205e+04 
       1.550912097912e-02       1.181062824781e+04 
       1.563834418245e-02       1.181665758123e+04 
       1.576760801247e-02       1.182186579062e+04 
       1.589691291928e-02       1.182624109894e+04 
       1.602625937360e-02       1.182980449659e+04 
       1.615564786680e-02       1.183258000370e+04 
       1.628507891098e-02       1.183456186135e+04 
       1.641455303903e-02       1.183576229614e+04 
       1.654407080477e-02       1.183620336936e+04 
       1.667363278307e-02       1.183588452521e+04 
       1.680323956993e-02       1.183482058483e+04 
       1.693289178275e-02       1.183301680900e+04 
       1.706259006039e-02       1.183049476065e+04 
       1.719233506344e-02       1.182725096283e+04 
       1.732212747441e-02       1.182330633229e+04 
       1.745196799794e-02       1.181867230165e+04 
       1.758185736107e-02       1.181334479755e+04 
       1.771179631348e-02       1.180734500241e+04 
       1.784178562778e-02       1.180067422414e+04 
       1.797182609979e-02       1.179335721277e+04 
       1.810191854888e-02       1.178538767368e+04 
       1.823206381825e-02       1.177678587382e+04 
       1.836226277532e-02       1.176755836798e+04 
       1.849251631206e-02       1.175771635398e+04 
       1.862282534539e-02       1.174726513438e+04 
       1.875319081755e-02       1.173621158751e+04 
       1.888361369654e-02       1.172456793342e+04 
       1.901409497651e-02       1.171234621142e+04 
       1.914463567825e-02       1.169955359037e+04 
       1.927523684962e-02       1.168619975440e+04 
       1.940589956606e-02       1.167230428103e+04 
       1.953662493104e-02       1.165785031277e+04 
       1.966741407666e-02       1.164286511668e+04 
       1.979826816410e-02       1.162734784891e+04 
       1.992918838426e-02       1.161132270494e+04 
       2.006017595825e-02       1.159479005293e+04 
       2.019123213806e-02       1.157774552261e+04 
       2.032235820714e-02       1.156021489615e+04 
       2.045355548104e-02       1.154220206417e+04 
       2.058482530807e-02       1.152370542760e+04 
       2.071616907001e-02       1.150475431933e+04 
       2.084758818275e-02       1.148533540214e+04 
       2.097908409706e-02       1.146546857667e+04 
       2.111065829936e-02       1.144515173239e+04 
       2.124231231243e-02       1.142441211673e+04 
       2.137404769626e-02       1.140324634847e+04 
       2.150586604885e-02       1.138165277664e+04 
       2.163776900706e-02       1.135964618393e+04 
       2.176975824749e-02       1.133724693634e+04 
       2.190183548739e-02       1.131445284629e+04 
       2.203400248559e-02       1.129126493222e+04 
       2.216626104342e-02       1.126769542377e+04 
       2.229861300579e-02       1.124374990375e+04 
       2.243106026212e-02       1.121946861500e+04 
       2.256360474744e-02       1.119477299578e+04 
       2.269624844347e-02       1.116975879795e+04 
       2.282899337975e-02       1.114440808378e+04 
       2.296184163478e-02       1.111869913434e+04 
       2.309479533722e-02       1.109268749525e+04 
       2.322785666710e-02       1.106631751309e+04 
       2.336102785714e-02       1.103965935451e+04 
       2.349431119401e-02       1.101269151482e+04 
       2.362770901968e-02       1.098541938621e+04 
       2.376122373285e-02       1.095785262624e+04 
       2.389485779037e-02       1.092998821455e+04 
       2.402861370869e-02       1.090184834628e+04 
       2.416249406545e-02       1.087342637820e+04 
       2.429650150102e-02       1.084474099193e+04 
       2.443063872013e-02       1.081579357709e+04 
       2.456490849357e-02       1.078657317535e+04 
       2.469931365994e-02       1.075713325021e+04 
       2.483385712741e-02       1.072743005240e+04 
       2.496854187561e-02       1.069750277322e+04 
       2.510337095751e-02       1.066732654963e+04 
       2.523834750144e-02       1.063691584876e+04 
       2.537347471312e-02       1.060632045190e+04 
       2.550875587776e-02       1.057548620493e+04 
       2.564419436226e-02       1.054443267011e+04 
       2.577979361748e-02       1.051319469011e+04 
       2.591555718055e-02       1.048176150861e+04 
       2.605148867732e-02       1.045013319655e+04 
       2.618759182484e-02       1.041829473643e+04 
       2.632387043396e-02       1.038629352024e+04 
       2.646032841200e-02       1.035412531085e+04 
       2.659696976552e-02       1.032176563907e+04 
       2.673379860323e-02       1.028927819258e+04 
       2.687081913890e-02       1.025661160214e+04 
       2.700803569449e-02       1.022376091191e+04 
       2.714545270333e-02       1.019080521436e+04 
       2.728307471343e-02       1.015768372705e+04 
       2.742090639089e-02       1.012442232647e+04 
       2.755895252351e-02       1.009102989081e+04 
       2.769721802439e-02       1.005749057894e+04 
       2.783570793585e-02       1.002385779723e+04 
       2.797442743334e-02       9.990106082185e+03 
       2.811338182959e-02       9.956183139771e+03 
       2.825257657887e-02       9.922199117410e+03 
       2.839201728147e-02       9.888059526859e+03 
       2.853170968826e-02       9.853855201584e+03 
       2.867165970554e-02       9.819518299349e+03 
       2.881187340001e-02       9.785107787295e+03 
       2.895235700394e-02       9.750627423600e+03 
       2.909311692059e-02       9.716051530792e+03 
       2.923415972980e-02       9.681340151830e+03 
       2.937549219384e-02       9.646615102527e+03 
       2.951712126348e-02       9.611800492590e+03 
       2.965905408434e-02       9.576883094636e+03 
       2.980129800345e-02       9.541914176152e+03 
       2.994386057617e-02       9.506872297521e+03 
       3.008674957331e-02       9.471798138006e+03 
       3.022997298863e-02       9.436632268411e+03 
       3.037353904661e-02       9.401436446548e+03 
       3.051745621061e-02       9.366171651823e+03 
       3.066173319134e-02       9.330863181907e+03 
       3.080637895571e-02       9.295497694552e+03 
       3.095140273615e-02       9.260117092820e+03 
       3.109681404022e-02       9.224686935001e+03 
       3.124262266079e-02       9.189207645961e+03 
       3.138883868658e-02       9.153710143914e+03 
       3.153547251326e-02       9.118181176029e+03 
       3.168253485506e-02       9.082617765096e+03 
       3.183003675686e-02       9.047034348393e+03 
       3.197798960697e-02       9.011420870843e+03 
       3.212640515044e-02       8.975772144645e+03 
       3.227529550304e-02       8.940150576360e+03 
       3.242467316591e-02       8.904481785361e+03 
       3.257455104100e-02       8.868787459906e+03 
       3.272494244720e-02       8.833123573868e+03 
       3.287586113735e-02       8.797430390638e+03 
       3.302732131606e-02       8.761729198495e+03 
       3.317933765851e-02       8.726026016219e+03 
       3.333192533019e-02       8.690325924311e+03 
       3.348510000768e-02       8.654613930953e+03 
       3.363887790059e-02       8.618897159753e+03 
       3.379327577458e-02       8.583168484402e+03 
       3.394831097571e-02       8.547524027932e+03 
       3.410400145613e-02       8.511808706650e+03 
       3.426036580116e-02       8.476108856748e+03 
       3.441742325789e-02       8.440463902836e+03 
       3.457519376544e-02       8.404766272383e+03 
       3.473369798692e-02       8.369107576856e+03 
       3.489295734329e-02       8.333457740164e+03 
       3.505299404916e-02       8.297841503888e+03 
       3.521383115076e-02       8.262193887846e+03 
       3.537549256615e-02       8.226610900006e+03 
       3.553800312794e-02       8.191023176192e+03 
       3.570138862857e-02       8.155447547826e+03 
       3.586567586847e-02       8.119882604957e+03 
       3.603089270721e-02       8.084358200191e+03 
       3.619706811796e-02       8.048838429636e+03 
       3.636423224547e-02       8.013333585563e+03 
       3.653241646779e-02       7.977853967410e+03 
       3.670165346216e-02       7.942384723483e+03 
       3.687197727528e-02       7.906948154737e+03 
       3.704342339841e-02       7.871516517044e+03 
       3.721602884756e-02       7.836099590920e+03 
       3.738983224942e-02       7.800709234135e+03 
       3.756487393327e-02       7.765343816291e+03 
       3.774119602953e-02       7.729991814360e+03 
       3.791884257551e-02       7.694633940232e+03 
       3.809785962898e-02       7.659312579309e+03 
       3.827829539018e-02       7.623993552336e+03 
       3.846020033321e-02       7.588678311469e+03 
       3.864362734748e-02       7.553418522291e+03 
       3.882863189029e-02       7.518156388307e+03 
       3.901527215149e-02       7.482886379081e+03 
       3.920360923153e-02       7.447637974419e+03 
       3.939370733396e-02       7.412401510026e+03 
       3.958563397408e-02       7.377154534257e+03 
       3.977946020523e-02       7.341909380295e+03 
       3.997526086449e-02       7.306672254116e+03 
       4.017311483991e-02       7.271432530435e+03 
       4.037310536143e-02       7.236189409381e+03 
       4.057532031818e-02       7.200938271407e+03 
       4.077985260490e-02       7.165685844767e+03 
       4.098680050079e-02       7.130405008495e+03 
       4.119626808441e-02       7.095121070474e+03 
       4.140836568888e-02       7.059814105545e+03 
       4.162321040199e-02       7.024456162835e+03 
       4.184092661659e-02       6.989100414046e+03 
       4.206164663746e-02       6.953720038934e+03 
       4.228551135160e-02       6.918299551936e+03 
       4.251267096986e-02       6.882818049760e+03 
       4.274328584931e-02       6.847301892802e+03 
       4.297752740672e-02       6.811739505796e+03 
       4.321557913547e-02       6.776061626250e+03 
       4.345763774010e-02       6.740376680786e+03 
       4.370391440476e-02       6.704612915963e+03 
       4.395463621474e-02       6.668777462591e+03 
       4.421004775344e-02       6.632840002878e+03 
       4.447041290077e-02       6.596789345091e+03 
       4.473601686380e-02       6.560641754570e+03 
       4.500716847560e-02       6.524402266142e+03 
       4.528420280537e-02       6.488002917894e+03 
       4.556748413018e-02       6.451447390345e+03 
       4.585740932915e-02       6.414757948794e+03 
       4.615441177200e-02       6.377904567275e+03 
       4.645896578891e-02       6.340881212901e+03 
       4.677159182594e-02       6.303641310184e+03 
       4.709286241262e-02       6.266178746219e+03 
       4.742340909487e-02       6.228490660518e+03 
       4.776393052090e-02       6.190522527300e+03 
       4.811520190917e-02       6.152300376378e+03 
       4.847808618092e-02       6.113763173828e+03 
       4.885354710597e-02       6.074867946195e+03 
       4.924266489506e-02       6.035620691475e+03 
       4.964665477821e-02       5.995935099083e+03 
       5.006688924464e-02       5.955807566284e+03 
       5.050492479254e-02       5.915179953359e+03 
       5.096253425712e-02       5.873973133063e+03 
       5.144174606646e-02       5.832150843267e+03 
       5.194489213004e-02       5.789601750878e+03 
       5.247466651335e-02       5.746290999374e+03 
       5.303419760686e-02       5.702067631604e+03 
       5.362713716856e-02       5.656794532841e+03 
       5.425777039091e-02       5.610367604231e+03 
       5.493115195053e-02       5.562520070214e+03 
       5.565327366489e-02       5.513062253157e+03 
       5.643126949968e-02       5.461659905982e+03 
       5.727366238898e-02       5.407936675461e+03 
       5.819065294733e-02       5.351371573256e+03 
       5.919443945408e-02       5.291273650202e+03 
       6.029953579553e-02       5.226752471314e+03 
       6.152301034023e-02       5.156596001731e+03 
       6.288449255579e-02       5.079213696727e+03 
       6.440567940875e-02       4.992467977801e+03 
       6.610894446587e-02       4.893669249969e+03 
       6.801461634759e-02       4.779587614668e+03 
       7.013679076075e-02       4.646767491893e+03 
       7.247844089833e-02       4.492242366998e+03 
       7.502789424066e-02       4.314652464832e+03 
       7.775921361604e-02       4.115341349215e+03 
       8.063724817448e-02       3.898886660803e+03 
       8.362502064588e-02       3.672622416748e+03 
       8.668983919050e-02       3.445384207652e+03 
