# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.327607580131e-10       6.326501440398e-15       4.191959706061e-13       0.000000000000e+00       7.858545252448e-09       4.377377097859e-10      -2.201114676078e-12 
    3       1.253010526134e-10       1.059653677934e-14       5.267157118174e-13       0.000000000000e+00       4.840063474168e-09       3.118070319715e-10      -1.928516965377e-12 
    4       1.179256993467e-10       1.221093945133e-14       5.434602685781e-13       0.000000000000e+00       3.365068372405e-09       2.371585334268e-10      -1.528467017453e-12 
    5       1.121175384819e-10       1.111959945813e-14       5.073509168505e-13       0.000000000000e+00       2.511965391856e-09       1.880698313809e-10      -1.123533915071e-12 
    6       1.078749477622e-10       8.430366821722e-15       4.448276365762e-13       0.000000000000e+00       1.962528107191e-09       1.535480383819e-10      -7.565133255827e-13 
    7       1.049554503232e-10       5.486029027393e-15       3.737907223002e-13       0.000000000000e+00       1.583646743698e-09       1.280893446171e-10      -4.489928070828e-13 
    8       1.030074277350e-10       3.199286453845e-15       3.051437051763e-13       0.000000000000e+00       1.309208271717e-09       1.086159884598e-10      -2.101887535140e-13 
    9       1.018647882936e-10       1.860722946493e-15       2.452719376960e-13       0.000000000000e+00       1.102696746977e-09       9.332613812300e-11      -4.087364323559e-14 
   10       1.013475728851e-10       1.291975343504e-15       1.975295381783e-13       0.000000000000e+00       9.425974918618e-10       8.110797301913e-11       6.452366558930e-14 
   11       1.012828103280e-10       1.133146889559e-15       1.632253683914e-13       0.000000000000e+00       7.943511578519e-10       7.142056165329e-11       1.153588818730e-13 
   12       1.016215354792e-10       1.081054234491e-15       1.419470774019e-13       0.000000000000e+00       6.940830526027e-10       6.321095508829e-11       1.256849142411e-13 
   13       1.022250394712e-10       9.923027624537e-16       1.319070243073e-13       0.000000000000e+00       6.117696033762e-10       5.635621878364e-11       1.077679382595e-13 
   14       1.030325296093e-10       8.629563006234e-16       1.305968725621e-13       0.000000000000e+00       5.432744115982e-10       5.054638737648e-11       7.387901726656e-14 
   15       1.040432866905e-10       7.495940518093e-16       1.353091294716e-13       0.000000000000e+00       4.856200469880e-10       4.567427520445e-11       3.461112952588e-14 
   16       1.052012794815e-10       6.977162063346e-16       1.434431014326e-13       0.000000000000e+00       4.366003620386e-10       4.153299706638e-11      -2.176535889664e-15 
   17       1.064780495444e-10       7.116206988701e-16       1.528657435479e-13       0.000000000000e+00       3.945486630141e-10       3.791161666176e-11      -3.138118404447e-14 
   18       1.078579502060e-10       7.616230867092e-16       1.619686905058e-13       0.000000000000e+00       3.580481802351e-10       3.471784454082e-11      -5.026460973879e-14 
   19       1.093412405259e-10       8.221008817555e-16       1.700823067968e-13       0.000000000000e+00       3.265211905170e-10       3.191143185512e-11      -5.851691372434e-14 
   20       1.108830493133e-10       8.704206017602e-16       1.768112051004e-13       0.000000000000e+00       2.987540219368e-10       2.939248705263e-11      -5.747599948503e-14 
   21       1.124932322893e-10       9.144007065152e-16       1.822347608573e-13       0.000000000000e+00       2.743108644656e-10       2.715612158132e-11      -4.943354715824e-14 
   22       1.141694079961e-10       9.740731870713e-16       1.866941926487e-13       0.000000000000e+00       2.526068710165e-10       2.518832433681e-11      -3.764522011307e-14 
   23       1.159050295690e-10       1.063959538555e-15       1.906873494556e-13       0.000000000000e+00       2.333435176528e-10       2.344431210222e-11      -2.469753798967e-14 
   24       1.176732517329e-10       1.195247592850e-15       1.947945307188e-13       0.000000000000e+00       2.160754150519e-10       2.184851857601e-11      -1.316502325415e-14 
   25       1.194737169752e-10       1.365232097561e-15       1.993262142516e-13       0.000000000000e+00       2.005997394907e-10       2.038144173384e-11      -4.554258508253e-15 
   26       1.213022592541e-10       1.565777567504e-15       2.044719627776e-13       0.000000000000e+00       1.866368248778e-10       1.903210539056e-11       1.335637804840e-16 
   27       1.231667762032e-10       1.792809737013e-15       2.102119293476e-13       0.000000000000e+00       1.740193946395e-10       1.781400038356e-11       1.073492444734e-15 
   28       1.250693309855e-10       2.043289637460e-15       2.163853183558e-13       0.000000000000e+00       1.625300386055e-10       1.673618864810e-11      -9.926385729236e-16 
   29       1.270137254711e-10       2.316996164234e-15       2.226580039088e-13       0.000000000000e+00       1.521099310768e-10       1.578276834982e-11      -5.212618622577e-15 
   30       1.289919271546e-10       2.614421655605e-15       2.285463709134e-13       0.000000000000e+00       1.426468850751e-10       1.491528867308e-11      -1.044303920805e-14 
   31       1.309867410479e-10       2.935595023936e-15       2.335126500372e-13       0.000000000000e+00       1.339475862451e-10       1.408842419201e-11      -1.538165027259e-14 
   32       1.330035106927e-10       3.279033754769e-15       2.372788687620e-13       0.000000000000e+00       1.259671949101e-10       1.330400321910e-11      -1.933184532959e-14 
   33       1.350479873424e-10       3.642328049152e-15       2.396241827482e-13       0.000000000000e+00       1.186495122237e-10       1.257596813760e-11      -2.170618643026e-14 
   34       1.371191970562e-10       4.023611148546e-15       2.403479740422e-13       0.000000000000e+00       1.118923678918e-10       1.191342398913e-11      -2.201336580893e-14 
   35       1.392170782580e-10       4.425894662938e-15       2.394286408319e-13       0.000000000000e+00       1.056611753539e-10       1.131150679001e-11      -2.051757740494e-14 
   36       1.413358874580e-10       4.854324055773e-15       2.369235033593e-13       0.000000000000e+00       9.990585768242e-11       1.075638521972e-11      -1.782440087961e-14 
   37       1.434665991158e-10       5.314057142441e-15       2.329252953748e-13       0.000000000000e+00       9.455142086794e-11       1.023213285227e-11      -1.461846476117e-14 
   38       1.456151285479e-10       5.806646075451e-15       2.275461600974e-13       0.000000000000e+00       8.958401812038e-11       9.738163065600e-12      -1.131361221732e-14 
   39       1.477891092515e-10       6.332486827744e-15       2.209329487675e-13       0.000000000000e+00       8.498789917328e-11       9.276995616550e-12      -8.299961370443e-15 
