# Matter power spectrum P(k) at redshift z=0.7
# for k=0.000105879 to 1.10569 h/Mpc,
# number of wavenumbers equal to 571
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.058792334390e-04       2.809815779768e+03 
       1.197545535066e-04       2.215847447886e+03 
       1.339191491370e-04       1.825803479750e+03 
       1.484139494260e-04       1.558936573781e+03 
       1.632825056830e-04       1.370632083720e+03 
       1.785713741600e-04       1.234777778563e+03 
       1.943305291961e-04       1.135348286506e+03 
       2.106138092838e-04       1.062112519625e+03 
       2.274793979029e-04       1.008319286537e+03 
       2.449903399708e-04       9.693893147399e+02 
       2.632150932663e-04       9.421455195626e+02 
       2.822281120539e-04       9.243438361337e+02 
       3.021104571719e-04       9.143783025429e+02 
       3.229504228087e-04       9.110905844815e+02 
       3.448441648412e-04       9.136439300755e+02 
       3.678963086671e-04       9.214379019457e+02 
       3.922205057250e-04       9.340494980754e+02 
       4.179398972116e-04       9.511916381727e+02 
       4.451874309721e-04       9.726832424255e+02 
       4.741059635667e-04       9.984270855531e+02 
       5.048480650849e-04       1.028392816791e+03 
       5.375754311161e-04       1.062603359277e+03 
       5.724577971078e-04       1.101123381349e+03 
       6.096712489506e-04       1.144048912379e+03 
       6.493958347617e-04       1.191497405962e+03 
       6.918124116753e-04       1.243597815593e+03 
       7.370987123811e-04       1.300480419704e+03 
       7.854246911034e-04       1.362266349882e+03 
       8.369473048219e-04       1.429057009927e+03 
       8.918049932130e-04       1.500923744324e+03 
       9.501122229667e-04       1.577898323240e+03 
       1.011954535993e-03       1.659964890499e+03 
       1.077384562902e-03       1.747054051469e+03 
       1.146419415893e-03       1.839039659415e+03 
       1.219039755788e-03       1.935738707866e+03 
       1.295190651625e-03       2.036914197995e+03 
       1.374784149669e-03       2.142275005044e+03 
       1.457703281559e-03       2.251489229177e+03 
       1.543807104387e-03       2.364212477193e+03 
       1.632936300383e-03       2.480068478837e+03 
       1.724918872992e-03       2.598670798496e+03 
       1.819575545277e-03       2.719632253070e+03 
       1.916724571573e-03       2.842572783270e+03 
       2.016185788847e-03       2.967125904743e+03 
       2.117783839901e-03       3.092943659288e+03 
       2.221350584165e-03       3.219699859821e+03 
       2.326726768889e-03       3.347092109334e+03 
       2.433763065768e-03       3.474842780657e+03 
       2.542320589993e-03       3.602699323514e+03 
       2.652271016523e-03       3.730433780448e+03 
       2.763496397404e-03       3.857841224045e+03 
       2.875888768677e-03       3.984739636558e+03 
       2.989349618988e-03       4.110966532984e+03 
       3.103789276311e-03       4.236379762589e+03 
       3.219126255359e-03       4.360852747780e+03 
       3.335286596638e-03       4.484275941500e+03 
       3.452203218773e-03       4.606553059173e+03 
       3.569815298456e-03       4.727600674391e+03 
       3.688067686885e-03       4.847346224002e+03 
       3.806910367514e-03       4.965727869602e+03 
       3.926297957074e-03       5.082691721638e+03 
       4.046189249798e-03       5.198191981253e+03 
       4.166546803483e-03       5.312191483993e+03 
       4.287336565202e-03       5.424655143255e+03 
       4.408527533966e-03       5.535558801268e+03 
       4.530091457450e-03       5.644878167472e+03 
       4.652002559834e-03       5.752596776103e+03 
       4.774237297861e-03       5.858700346344e+03 
       4.896774142376e-03       5.963179493833e+03 
       5.019593382749e-03       6.066026617875e+03 
       5.142676951830e-03       6.167237032763e+03 
       5.266008269248e-03       6.266809098263e+03 
       5.389572101087e-03       6.364743027366e+03 
