# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.290806751124e-10       5.381510929516e-15       2.932607322596e-13       1.540338006613e-19       6.883827447472e-09       4.761828471898e-10      -1.801511047257e-12 
    3       1.251693517454e-10       9.524967044640e-15       4.117893085671e-13       3.081813507489e-19       4.237824797159e-09       3.366119623071e-10      -1.621556591688e-12 
    4       1.191149854917e-10       1.136188890179e-14       4.503166267395e-13       5.138852633786e-19       2.942199283682e-09       2.564732672053e-10      -1.301060647016e-12 
    5       1.138440757004e-10       1.074658123388e-14       4.420019733575e-13       7.712886805780e-19       2.190993424101e-09       2.040221842734e-10      -9.665579220041e-13 
    6       1.097503372490e-10       8.544465752947e-15       4.090836395150e-13       1.080563422224e-18       1.708681915754e-09       1.670978204173e-10      -6.584214134392e-13 
    7       1.067484670817e-10       5.894306439182e-15       3.634286139677e-13       1.441905593654e-18       1.376683640024e-09       1.398638059455e-10      -3.953298916843e-13 
    8       1.046545225265e-10       3.674479879758e-15       3.138835463442e-13       1.855530645095e-18       1.136575590753e-09       1.190558510383e-10      -1.866515419524e-13 
    9       1.032981671986e-10       2.252742659663e-15       2.663397374219e-13       2.321668043686e-18       9.562453482859e-10       1.027293619915e-10      -3.451792798184e-14 
   10       1.025340018717e-10       1.560788819218e-15       2.245561810772e-13       2.840555730520e-18       8.166337486352e-10       8.964765138766e-11       6.435359214687e-14 
   11       1.022420655354e-10       1.314994952577e-15       1.907170205786e-13       3.412434540827e-18       6.878391048103e-10       7.960125553950e-11       1.178263937551e-13 
   12       1.023250361416e-10       1.229518417359e-15       1.657226597234e-13       4.037542764896e-18       6.004366450850e-10       7.062614494967e-11       1.336933347555e-13 
   13       1.027056166867e-10       1.134972344108e-15       1.494068026743e-13       4.716111020808e-18       5.287474677650e-10       6.315235497318e-11       1.233589838037e-13 
   14       1.033230144775e-10       9.915890655867e-16       1.407131754341e-13       5.448357597572e-18       4.691522949222e-10       5.688651607525e-11       9.680156267743e-14 
   15       1.041304272003e-10       8.371225406819e-16       1.380703515400e-13       6.234484409418e-18       4.190319194125e-10       5.151962833582e-11       6.276280032771e-14 
   16       1.050917725079e-10       7.224823473763e-16       1.397985372684e-13       7.074673679431e-18       3.764526351315e-10       4.691499800917e-11       2.845752686689e-14 
   17       1.061703806520e-10       6.720721583270e-16       1.442361396331e-13       7.969085146061e-18       3.398173913476e-10       4.291218619459e-11      -9.383896550894e-16 
   18       1.073733758199e-10       6.754499885466e-16       1.502601073858e-13       8.917855941418e-18       3.084165738200e-10       3.943674154996e-11      -2.279742373791e-14 
   19       1.086546288767e-10       7.058261609568e-16       1.566107603191e-13       9.921096601723e-18       2.809483948670e-10       3.633744037182e-11      -3.575100305487e-14 
   20       1.100159708640e-10       7.463243458448e-16       1.627885731509e-13       1.097889581274e-17       2.569403314925e-10       3.358267701316e-11      -4.016860827131e-14 
   21       1.114391583199e-10       7.841107530878e-16       1.685194526345e-13       1.209131630554e-17       2.357356893830e-10       3.112822674975e-11      -3.772579705848e-14 
   22       1.129263849215e-10       8.272365004243e-16       1.737858673058e-13       1.325840319204e-17       2.170263301114e-10       2.893693420516e-11      -3.043999131262e-14 
   23       1.144620829032e-10       8.911664152126e-16       1.786874048013e-13       1.448017899591e-17       2.003438818591e-10       2.694519376548e-11      -2.089496429969e-14 
   24       1.160444183900e-10       9.833118633423e-16       1.834543368593e-13       1.575665322031e-17       1.854436139826e-10       2.513867503260e-11      -1.110952973385e-14 
   25       1.176611773877e-10       1.107427486936e-15       1.883601879137e-13       1.708781958182e-17       1.720048935625e-10       2.350129952171e-11      -2.982469295909e-15 
   26       1.193213085664e-10       1.261585292053e-15       1.935339849518e-13       1.847367460280e-17       1.599555531259e-10       2.202927914941e-11       2.717211002339e-15 
