# Matter power spectrum P(k) at redshift z=0.7
# for k=0.000298347 to 1.00644 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.983469320007e-04       2.666255977991e+02 
       3.190009971431e-04       3.288074158840e+02 
       3.406902541248e-04       3.937934394678e+02 
       3.635176962462e-04       4.613977159990e+02 
       3.875952434251e-04       5.315699520577e+02 
       4.130442267451e-04       6.043634664676e+02 
       4.399957372812e-04       6.799047410624e+02 
       4.685907738958e-04       7.583788272559e+02 
       4.989801102548e-04       8.400127092024e+02 
       5.313237877426e-04       9.250690689948e+02 
       5.657901307881e-04       1.013830632856e+03 
       6.025541779341e-04       1.106597427782e+03 
       6.417954303958e-04       1.203676071103e+03 
       6.836948450029e-04       1.305368779039e+03 
       7.284310449784e-04       1.411964663076e+03 
       7.761757924986e-04       1.523727148514e+03 
       8.270888596183e-04       1.640883839659e+03 
       8.813125407041e-04       1.763615738891e+03 
       9.389661542909e-04       1.892042844788e+03 
       1.000140963242e-03       2.026217307794e+03 
       1.064895975256e-03       2.166115129087e+03 
       1.133255052156e-03       2.311632816941e+03 
       1.205205649907e-03       2.462586918427e+03 
       1.280699343680e-03       2.618718190746e+03 
       1.359654092565e-03       2.779696708050e+03 
       1.441958005799e-03       2.945124713768e+03 
       1.527474223942e-03       3.114585218208e+03 
       1.616046449148e-03       3.287616983613e+03 
       1.707504654607e-03       3.463741527337e+03 
       1.801670562770e-03       3.642475684848e+03 
       1.898362582230e-03       3.823342597059e+03 
       1.997400008423e-03       4.005880440127e+03 
       2.098606401956e-03       4.189649247995e+03 
       2.201812146661e-03       4.374235714472e+03 
       2.306856251484e-03       4.559256206940e+03 
       2.413587496873e-03       4.744358460473e+03 
       2.521865041665e-03       4.929222154582e+03 
       2.631558606450e-03       5.113558204529e+03 
       2.742548339689e-03       5.297107615964e+03 
       2.854724458158e-03       5.479640933505e+03 
       2.967986736845e-03       5.660953389065e+03 
       3.082243907537e-03       5.840865314577e+03 
       3.197413011068e-03       6.019220002545e+03 
       3.313418736200e-03       6.195879765764e+03 
       3.430192768311e-03       6.370725946420e+03 
       3.547673163491e-03       6.543655168359e+03 
       3.665803757787e-03       6.714579159080e+03 
       3.784533617108e-03       6.883422025877e+03 
       3.903816530179e-03       7.050120599278e+03 
       4.023610544834e-03       7.214618844819e+03 
       4.143877546464e-03       7.376873316719e+03 
       4.264582876550e-03       7.536844600554e+03 
       4.385694988683e-03       7.694505722232e+03 
       4.507185139176e-03       7.849832156473e+03 
       4.629027109339e-03       8.002807708942e+03 
       4.751196956505e-03       8.153418123491e+03 
       4.873672791023e-03       8.301655867226e+03 
       4.996434576609e-03       8.447516947702e+03 
       5.119463951649e-03       8.590999970565e+03 
       5.242744069233e-03       8.732106203746e+03 
       5.366259453927e-03       8.870840754846e+03 
       5.489995873459e-03       9.007210800370e+03 
       5.613940223716e-03       9.141232360896e+03 
       5.738080425581e-03       9.272905417788e+03 
       5.862405332326e-03       9.402245901315e+03 
       5.986904646400e-03       9.529269859163e+03 
       6.111568844594e-03       9.653990120402e+03 
       6.236389110674e-03       9.776423648868e+03 
       6.361357274662e-03       9.896586198087e+03 
       6.486465758067e-03       1.001448978680e+04 
       6.611707524414e-03       1.013016151015e+04 
       6.737076034526e-03       1.024361288031e+04 
       6.862565206040e-03       1.035486396997e+04 
       6.988169376728e-03       1.046393754488e+04 
       7.113883271222e-03       1.057085227184e+04 
       7.239701970801e-03       1.067562533187e+04 
       7.365620885914e-03       1.077828125063e+04 
       7.491635731184e-03       1.087883842029e+04 
       7.617742502623e-03       1.097732098672e+04 
       7.743937456858e-03       1.107374485511e+04 
       7.870217092161e-03       1.116814073726e+04 
       7.996578131110e-03       1.126052327024e+04 
       8.123017504725e-03       1.135091375739e+04 
       8.249532337943e-03       1.143933497827e+04 
       8.376119936299e-03       1.152580844466e+04 
       8.502777773706e-03       1.161035606442e+04 
       8.629503481233e-03       1.169299831526e+04 
       8.756294836783e-03       1.177375288287e+04 
       8.883149755605e-03       1.185264639918e+04 
       9.010066281550e-03       1.192969177727e+04 
       9.137042579011e-03       1.200491662122e+04 
       9.264076925494e-03       1.207833863647e+04 
       9.391167704754e-03       1.214997539577e+04 
       9.518313400457e-03       1.221985298619e+04 
       9.645512590321e-03       1.228798577370e+04 
       9.772763940690e-03       1.235439474797e+04 
       9.900066201518e-03       1.241910130229e+04 
       1.002741820172e-02       1.248212696641e+04 
       1.015481884484e-02       1.254348458993e+04 
       1.028226710510e-02       1.260319997869e+04 
       1.040976202364e-02       1.266128368302e+04 
       1.053730270508e-02       1.271776300038e+04 
       1.066488831435e-02       1.277265425130e+04 
       1.079251807369e-02       1.282597419737e+04 
       1.092019125988e-02       1.287774117837e+04 
       1.104790720167e-02       1.292797865321e+04 
       1.117566527740e-02       1.297669485279e+04 
       1.130346491277e-02       1.302391515084e+04 
       1.143130557874e-02       1.306966082074e+04 
       1.155918678963e-02       1.311393750369e+04 
       1.168710810129e-02       1.315677103658e+04 
       1.181506910947e-02       1.319817975339e+04 
       1.194306944821e-02       1.323817825600e+04 
       1.207110878843e-02       1.327678533934e+04 
       1.219918683654e-02       1.331401573787e+04 
       1.232730333322e-02       1.334988596052e+04 
       1.245545805223e-02       1.338442192795e+04 
       1.258365079930e-02       1.341762424932e+04 
       1.271188141115e-02       1.344953242266e+04 
       1.284014975455e-02       1.348013788966e+04 
       1.296845572542e-02       1.350947202752e+04 
       1.309679924803e-02       1.353754153852e+04 
       1.322518027427e-02       1.356437144917e+04 
       1.335359878293e-02       1.358997495077e+04 
       1.348205477908e-02       1.361436106101e+04 
       1.361054829343e-02       1.363754759408e+04 
       1.373907938188e-02       1.365955141569e+04 
       1.386764812492e-02       1.368038516146e+04 
       1.399625462724e-02       1.370006831999e+04 
       1.412489901726e-02       1.371861078123e+04 
       1.425358144682e-02       1.373602744836e+04 
       1.438230209077e-02       1.375232588852e+04 
       1.451106114669e-02       1.376753782952e+04 
       1.463985883462e-02       1.378166696207e+04 
       1.476869539681e-02       1.379472257571e+04 
       1.489757109750e-02       1.380672973158e+04 
       1.502648622274e-02       1.381769614944e+04 
       1.515544108022e-02       1.382763786244e+04 
       1.528443599916e-02       1.383656620068e+04 
       1.541347133020e-02       1.384449786404e+04 
       1.554254744529e-02       1.385143789763e+04 
       1.567166473767e-02       1.385740182640e+04 
       1.580082362180e-02       1.386240441921e+04 
       1.593002453339e-02       1.386645488983e+04 
       1.605926792935e-02       1.386957251324e+04 
       1.618855428790e-02       1.387175993966e+04 
       1.631788410853e-02       1.387303822463e+04 
       1.644725791212e-02       1.387342039461e+04 
       1.657667624105e-02       1.387291051368e+04 
       1.670613965925e-02       1.387153414420e+04 
       1.683564875238e-02       1.386928572821e+04 
       1.696520412793e-02       1.386619658848e+04 
       1.709480641543e-02       1.386226948616e+04 
       1.722445626659e-02       1.385750609690e+04 
       1.735415435554e-02       1.385193799845e+04 
       1.748390137901e-02       1.384556176261e+04 
       1.761369805657e-02       1.383840168397e+04 
       1.774354513091e-02       1.383045381824e+04 
       1.787344336807e-02       1.382173793393e+04 
       1.800339355776e-02       1.381227128056e+04 
       1.813339651364e-02       1.380205104932e+04 
       1.826345307364e-02       1.379110453822e+04 
       1.839356410032e-02       1.377943545477e+04 
       1.852373048119e-02       1.376704111324e+04 
       1.865395312910e-02       1.375394500055e+04 
       1.878423298264e-02       1.374017285697e+04 
       1.891457100654e-02       1.372571303811e+04 
       1.904496819207e-02       1.371058240017e+04 
       1.917542555751e-02       1.369480146391e+04 
       1.930594414860e-02       1.367836845022e+04 
       1.943652503902e-02       1.366129312736e+04 
       1.956716933090e-02       1.364359163212e+04 
       1.969787815530e-02       1.362528082179e+04 
       1.982865267280e-02       1.360635446893e+04 
       1.995949407398e-02       1.358684253229e+04 
       2.009040358009e-02       1.356673521298e+04 
       2.022138244355e-02       1.354606282793e+04 
       2.035243194864e-02       1.352483561091e+04 
       2.048355341209e-02       1.350302423797e+04 
       2.061474818377e-02       1.348067123844e+04 
       2.074601764734e-02       1.345780022569e+04 
       2.087736322098e-02       1.343438478485e+04 
       2.100878635812e-02       1.341047151052e+04 
       2.114028854814e-02       1.338603383389e+04 
       2.127187131722e-02       1.336110053006e+04 
       2.140353622909e-02       1.333570449413e+04 
       2.153528488585e-02       1.330980234357e+04 
       2.166711892886e-02       1.328343090010e+04 
       2.179904003960e-02       1.325659610603e+04 
       2.193104994055e-02       1.322931720431e+04 
       2.206315039618e-02       1.320160352769e+04 
       2.219534321386e-02       1.317343718385e+04 
       2.232763024490e-02       1.314487201145e+04 
       2.246001338555e-02       1.311584433571e+04 
       2.259249457807e-02       1.308643409372e+04 
       2.272507581182e-02       1.305663437726e+04 
       2.285775912439e-02       1.302643006557e+04 
       2.299054660276e-02       1.299584536721e+04 
       2.312344038448e-02       1.296486607576e+04 
       2.325644265896e-02       1.293353917401e+04 
       2.338955566868e-02       1.290185530790e+04 
       2.352278171058e-02       1.286977293070e+04 
       2.365612313734e-02       1.283740225305e+04 
       2.378958235883e-02       1.280467300214e+04 
       2.392316184357e-02       1.277161070995e+04 
       2.405686412019e-02       1.273822527666e+04 
       2.419069177896e-02       1.270452413114e+04 
       2.432464747345e-02       1.267052170277e+04 
       2.445873392209e-02       1.263620582810e+04 
       2.459295390993e-02       1.260163444443e+04 
       2.472731029035e-02       1.256674365500e+04 
       2.486180598688e-02       1.253159262806e+04 
       2.499644399512e-02       1.249615969822e+04 
       2.513122738457e-02       1.246047242283e+04 
       2.526615930073e-02       1.242452201254e+04 
       2.540124296709e-02       1.238831087179e+04 
       2.553648168729e-02       1.235186197238e+04 
       2.567187884735e-02       1.231517681979e+04 
       2.580743791790e-02       1.227827731291e+04 
       2.594316245655e-02       1.224111810566e+04 
       2.607905611038e-02       1.220378291883e+04 
       2.621512261838e-02       1.216620573853e+04 
       2.635136581415e-02       1.212841781937e+04 
       2.648778962851e-02       1.209046336342e+04 
       2.662439809239e-02       1.205229417623e+04 
       2.676119533967e-02       1.201394176248e+04 
       2.689818561018e-02       1.197541939330e+04 
       2.703537325286e-02       1.193672335219e+04 
       2.717276272893e-02       1.189783319179e+04 
       2.731035861524e-02       1.185880086467e+04 
       2.744816560778e-02       1.181961526392e+04 
       2.758618852519e-02       1.178024560981e+04 
       2.772443231256e-02       1.174075675096e+04 
       2.786290204524e-02       1.170112135145e+04 
       2.800160293291e-02       1.166135020164e+04 
       2.814054032366e-02       1.162144247584e+04 
       2.827971970841e-02       1.158141198659e+04 
       2.841914672530e-02       1.154126266351e+04 
       2.855882716444e-02       1.150101258334e+04 
       2.869876697273e-02       1.146065472612e+04 
       2.883897225886e-02       1.142017311350e+04 
       2.897944929860e-02       1.137956650241e+04 
       2.912020454026e-02       1.133888775781e+04 
       2.926124461031e-02       1.129812516725e+04 
       2.940257631930e-02       1.125726829224e+04 
       2.954420666806e-02       1.121632785369e+04 
       2.968614285402e-02       1.117530787911e+04 
       2.982839227793e-02       1.113419645108e+04 
       2.997096255082e-02       1.109304187241e+04 
       3.011386150118e-02       1.105179479179e+04 
       3.025709718262e-02       1.101052409473e+04 
