# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.715688303393e-10       1.009106533900e-14       9.455815529496e-13       0.000000000000e+00       1.231684854356e-08       2.085730170369e-10      -4.086199974378e-12 
    3       1.505000839336e-10       1.470485148826e-14       1.012534226452e-12       0.000000000000e+00       7.660047662317e-09       1.504310730805e-10      -3.389684025282e-12 
    4       1.342303911230e-10       1.489011987731e-14       9.066008415121e-13       0.000000000000e+00       5.380647902184e-09       1.126810455739e-10      -2.575380803993e-12 
    5       1.234528367078e-10       1.165569737165e-14       7.328125117432e-13       0.000000000000e+00       4.046080722323e-09       8.651241228821e-11      -1.810585685534e-12 
    6       1.165058091582e-10       7.298398745905e-15       5.490744264395e-13       0.000000000000e+00       3.180655012392e-09       6.770130398043e-11      -1.160033141697e-12 
    7       1.121559842174e-10       3.720971998528e-15       3.865015590599e-13       0.000000000000e+00       2.580445104982e-09       5.376960015313e-11      -6.511738238609e-13 
    8       1.095709289181e-10       1.669921184455e-15       2.598142445183e-13       0.000000000000e+00       2.143220542131e-09       4.322877498909e-11      -2.891758771386e-13 
    9       1.081964929812e-10       9.055900802107e-16       1.736231904079e-13       0.000000000000e+00       1.812509874874e-09       3.513822983839e-11      -6.325735049579e-14 
   10       1.076650956274e-10       7.959117137404e-16       1.259183723423e-13       0.000000000000e+00       1.555035801510e-09       2.886301733830e-11       4.869874458842e-14 
   11       1.077349355400e-10       8.305882782290e-16       1.103109437628e-13       0.000000000000e+00       1.312775975132e-09       2.373125957029e-11       7.061905085724e-14 
   12       1.082483033337e-10       8.157625078882e-16       1.179533162430e-13       0.000000000000e+00       1.150877698338e-09       1.940984984992e-11       4.272932812990e-14 
   13       1.091023977553e-10       7.896367998351e-16       1.393999250406e-13       0.000000000000e+00       1.017542454868e-09       1.604439175981e-11      -1.197790998525e-14 
   14       1.102305581466e-10       8.410404452419e-16       1.661245522471e-13       0.000000000000e+00       9.062666590578e-10       1.338626640400e-11      -7.182043394656e-14 
   15       1.115865872291e-10       9.901014514549e-16       1.916444874785e-13       0.000000000000e+00       8.123317390934e-10       1.125232917864e-11      -1.215594704510e-13 
   16       1.131366445412e-10       1.181061970640e-15       2.119680296162e-13       0.000000000000e+00       7.322391963661e-10       9.508307512489e-12      -1.527068130718e-13 
   17       1.148534040996e-10       1.343319677670e-15       2.254092381567e-13       0.000000000000e+00       6.633460971957e-10       8.057976544961e-12      -1.628506897593e-13 
   18       1.167142048815e-10       1.449148355758e-15       2.321497602969e-13       0.000000000000e+00       6.036221854387e-10       6.834690925542e-12      -1.543160506675e-13 
   19       1.186971258046e-10       1.525985611743e-15       2.337358672878e-13       0.000000000000e+00       5.514849501012e-10       5.793073022208e-12      -1.324629693704e-13 
   20       1.207833526593e-10       1.628238089099e-15       2.323276692437e-13       0.000000000000e+00       5.056844549145e-10       4.902109582746e-12      -1.039290801143e-13 
   21       1.229560809691e-10       1.800335535948e-15       2.300831022216e-13       0.000000000000e+00       4.652219355068e-10       4.140164907321e-12      -7.509793798838e-14 
   22       1.252019082188e-10       2.057329499002e-15       2.287289287912e-13       0.000000000000e+00       4.292908698030e-10       3.491662579807e-12      -5.098811074927e-14 
